Configuração,MAPE Médio,MAPE Mín,MAPE Máx,Meta <5%
Original,15.269342452169935,8.250589553029624,23.24255074605093,❌
Config C (less regularization),17.126192400584216,11.945094416055134,22.95243294556013,❌
Config D (ensemble + tuned),17.261142088344428,8.023893401213474,22.589543433253755,❌
Config B (ensemble 3 modelos),19.229044131263013,4.349785469222931,30.454233213784057,❌
Config A (mais profunda),19.730689797452797,7.194347872993264,27.573001788404905,❌
